ticker,market_cap,avg_volume_3m,crit6_liquidity
ACCO,398768709.6056442,819231.746031746,False
ACNB,658881044.5988464,67822.22222222222,False
AIT,13020477014.70639,263471.4285714286,True
ALRS,842725577.7199326,228009.52380952382,False
AWR,3485953185.7416687,327560.31746031746,True
BCAL,700881769.2710838,218939.68253968254,False
BFST,1047455244.873436,249761.90476190476,True
BHB,676846631.6918945,116376.19047619047,False
BIIB,30861376840.80493,1240165.0793650793,True
BJRI,1482781355.5776215,496385.71428571426,True
BOKF,8796831567.590088,266106.34920634923,True
BPOP,11236495839.052307,512792.0634920635,True
BURL,22218669040.518433,814074.6031746032,True
BY,1781405209.7832909,291920.6349206349,True
CATY,4300372776.121674,490322.22222222225,True
CBAN,467085285.88721657,287766.6666666667,False
CBOE,30387339055.93344,1442884.126984127,True
CCBG,895538863.3453827,94057.14285714286,False
CCK,13128481183.236778,1116196.8253968253,True
CCNE,1031437996.1400833,168884.12698412698,True
CFFN,1095520694.5985126,804971.4285714285,True
CFR,10441617026.456528,606434.9206349206,True
CHD,24014523037.957787,1953395.238095238,True
CHRD,7525333329.914795,813896.8253968254,True
CLH,16715081757.012207,489333.3333333333,True
CNO,5022059904.938873,779392.0634920635,True
CNXN,2025609879.654396,152658.73015873015,True
COFS,514170793.57421875,95052.38095238095,False
CTBI,1422732433.3846436,115482.53968253969,True
CTS,1816745095.398693,297871.4285714286,True
DAL,59140039288.59062,7098236.507936508,True
DCI,11158756972.014282,777149.2063492064,True
DE,167404395440.67285,1279377.7777777778,True
DINO,15632533896.825325,2573742.8571428573,True
DLTR,24715573879.97406,3377555.5555555555,True
DVN,49346000671.38672,13059158.73015873,True
EBC,5335744826.370239,3222330.1587301586,True
EBF,555550029.9587402,143282.53968253967,False
EPR,4704553888.330406,670933.3333333334,True
EQBK,1059689516.5470123,126639.68253968254,True
EWBC,18503451570.927002,876568.253968254,True
FAF,7381830311.584473,922134.9206349206,True
FBP,4459439968.508026,1535339.6825396826,True
FCF,2184829183.3095074,790006.3492063492,True
FELE,4750079800.098145,294720.6349206349,True
FISI,825105272.1513367,163625.39682539683,False
FMBH,1379841147.0260925,146036.50793650793,True
FNLC,402215438.2154846,33757.142857142855,False
GE,379052698942.17615,4485923.80952381,True
GM,78470217629.27695,7813623.80952381,True
GSAT,10782265473.958435,1282050.7936507936,True
GSBC,877249313.5,104865.07936507936,False
HBNC,1054103010.3254833,628841.2698412698,True
HOMB,6225544653.488331,1801990.4761904762,True
HOV,793389398.0358582,134233.33333333334,False
HTH,2254793408.084854,281323.8095238095,True
HWC,6340830577.766403,933755.5555555555,True
IBCP,850232981.563282,181684.12698412698,False
INCY,24479806103.977127,1873800.0,True
ITW,83306850781.25,1426825.396825397,True
JAKK,287956500.17362976,80842.85714285714,False
JBLU,2180864485.343246,30400333.333333332,True
JMSB,327542617.21995544,43706.34920634921,False
JNJ,628646112712.171,8225838.095238095,True
JOUT,498517898.7018585,62295.23809523809,False
KFRC,1033528373.6038208,222176.19047619047,True
KFY,4277966035.62648,531809.5238095238,True
KO,373074040921.4285,17789347.61904762,True
KRNY,599739255.7354183,520401.5873015873,False
LTH,9792102493.164825,2929026.984126984,True
LXP,3578705969.7808228,640038.0952380953,True
MET,61425202091.00601,3834053.9682539683,True
MSBI,695818290.027832,172336.50793650793,False
MTB,36747762592.300415,1100569.8412698412,True
MTG,6285024972.401733,1800682.5396825396,True
MYE,1233872667.2996902,451968.25396825396,True
NBTB,2777866483.1838684,371176.1904761905,True
NSC,75335895210.47043,1175325.396825397,True
NWBI,2302337436.948805,1149044.4444444445,True
OBK,1667425072.3635635,153390.47619047618,True
OBT,522240169.07946396,69150.79365079365,False
OFG,2234999367.864418,340312.6984126984,True
ONB,10359995570.812225,4091660.3174603176,True
PAG,14314506314.0,377495.2380952381,True
PCAR,68985389455.10931,3384003.1746031744,True
PEBO,1480104542.668724,272036.50793650793,True
PFIS,713538947.5403137,65939.68253968254,False
PFS,3244914626.384983,1021555.5555555555,True
PM,290198240012.6186,4997204.761904762,True
RBCAA,1906672415.5937347,107369.84126984127,True
RCL,82375241872.0,2601160.3174603176,True
ROST,79633902117.0,2996223.8095238097,True
RUSHB,9182014871.379547,86133.33333333333,True
SB,759677712.4646387,843336.5079365079,False
SCI,11503010150.764458,1443279.365079365,True
SFBS,4945128362.6527405,289695.2380952381,True
SFL,1571974666.2938232,1519131.746031746,True
SFNC,3445208751.811054,1427112.6984126985,True
SHBI,801268354.3983078,222500.0,False
SIG,3639184772.980011,833841.2698412698,True
SJM,12696357262.952194,1621666.6666666667,True
SMBC,852590173.2303238,103007.93650793651,False
SON,5744637523.428719,1239530.1587301588,True
SPFI,857744427.6530457,147876.19047619047,False
SRCE,2131482470.7043304,138401.5873015873,True
SSD,7985045669.105194,310957.14285714284,True
STBA,1815114916.2886963,268606.34920634923,True
THFF,969665210.727356,106428.57142857143,False
THG,7736356446.749084,324377.77777777775,True
THRM,1271502658.594757,410174.6031746032,True
TOWN,3491355919.0644264,650433.3333333334,True
TRMK,2794356103.213932,434757.14285714284,True
TRV,77206130907.34454,1940688.888888889,True
UAL,40610165258.81738,5058239.682539683,True
UBSI,6660794929.743889,972685.7142857143,True
UNF,5244952673.1145935,194739.68253968254,True
USB,101304499788.64476,8595034.92063492,True
VZ,195191337088.05484,27567579.365079366,True
WAB,49919914347.870026,962634.9206349206,True
WASH,750383791.0505104,170119.04761904763,False
WSBC,4065450576.173691,1277958.7301587302,True
WSFS,4169622288.635254,460995.2380952381,True
